generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,33,0.9875861406326294,63.693338892345956,1,-1,-1,2,12,12,0
1,276,0.9695085883140564,42.21981919191504,2,97,9,2,11,11,0
2,332,0.9785019755363464,93.99381382470993,2,136,266,2,13,12,1
3,523,1.0279850959777832,61.15606821961929,2,361,98,2,12,12,0
4,662,0.9970386028289795,83.3943236522745,1,141,463,2,12,12,0
5,832,0.9973682761192322,61.446364411964886,3,187,692,2,12,11,1
6,941,0.9768396615982056,69.1791008160948,5,496,54,2,7,7,0
7,1079,1.0162322521209717,57.03447576495894,3,662,463,3,13,11,2
8,1223,0.9898913502693176,64.87195953063733,3,523,899,2,11,11,0
9,1391,0.9652209281921387,37.84993241943427,3,296,482,2,8,7,1
10,1509,0.9678826332092285,52.38605924541743,1,621,1326,2,12,11,1
11,1796,0.9759725332260132,63.53523872446683,3,549,1226,1,3,3,0
12,1822,0.9733009338378906,68.06983315621538,1,1546,523,3,10,9,1
13,2091,0.9702593684196472,58.87117178808387,3,492,1796,1,8,8,0
14,2194,0.9550482034683228,59.02079469801697,1,1526,1555,1,5,5,0
15,2397,1.0027828216552734,68.66056470194985,2,2003,1717,1,3,3,0
16,2539,0.9559087157249451,53.31122930531283,3,1512,523,4,11,10,1
17,2657,0.9729501605033875,52.42638622750004,3,1646,2324,2,10,8,2
18,2839,0.978861927986145,63.23849990791878,3,1576,2471,3,14,13,1
19,2873,0.9731156826019287,57.36258995028355,3,2688,1300,3,13,8,5
20,3097,0.9535513520240784,41.36373883604982,3,2786,2998,2,7,6,1
21,3272,0.9627687931060791,81.80363932575573,2,1227,2759,2,9,8,1
22,3427,0.9568861722946167,37.86505580052541,2,2943,1391,2,10,9,1
23,3530,0.9610961675643921,61.620633673529404,1,3438,1526,2,12,12,0
24,3693,0.9483640193939209,70.42010644737339,2,3032,1313,2,13,9,4
25,3798,0.9481997489929199,80.8525886196538,1,3505,2217,3,16,14,2
26,3962,0.9533330798149109,37.71531613197614,2,3571,660,3,11,9,2
27,4141,0.9508859515190125,62.84128106699143,2,4048,3798,2,6,6,0
28,4309,0.9458712339401245,41.45725913291545,1,2194,4072,3,7,7,0
29,4446,0.950496256351471,61.27649029245706,5,4224,3660,1,4,4,0
30,4567,0.9445511102676392,56.977708275030956,3,3323,4266,2,11,10,1
31,4765,0.9448059797286987,84.58126791807734,1,4347,2947,4,15,10,5
32,4801,0.9452290534973145,53.273923327880745,1,1615,1188,3,15,14,1
33,4952,0.9456930756568909,37.603275709291665,1,3136,1854,1,3,3,0
34,5172,0.9473042488098145,34.71975027047128,5,5019,2070,1,6,6,0
35,5285,0.9424582123756409,48.857020287469865,5,2947,910,1,1,1,0
36,5419,0.9454733729362488,38.564998224604146,5,4381,4952,3,13,13,0
37,5676,0.9413554072380066,64.62083189906305,2,2560,2950,2,8,7,1
38,5830,0.9476370811462402,33.74120012707063,3,804,3499,4,14,12,2
39,5854,0.9349576830863953,46.88063542366001,3,4048,4496,1,8,5,3
40,6074,0.9513912796974182,33.739962571398316,5,4765,3884,2,11,11,0
41,6266,0.9352161288261414,44.913278310421724,1,5777,4801,1,7,4,3
42,6314,0.9610015153884888,34.672581796254384,1,5852,3920,2,14,11,3
43,6538,0.9441434144973755,33.81502425241864,3,5134,4801,2,11,11,0
44,6688,0.9461792707443237,32.864372708267254,4,4909,5285,2,8,5,3
45,6793,0.9482057094573975,32.90489466646836,3,4058,6586,3,17,16,1
46,6993,0.9471466541290283,34.894379725133405,1,4229,3962,5,18,14,4
47,7186,0.9504061937332153,33.81896400625555,3,6641,6436,4,16,15,1
48,7272,0.9630393981933594,34.71387161005247,3,5419,7154,3,14,12,2
49,7497,0.9442983269691467,32.807931055205394,2,6650,5479,1,5,2,3
50,7619,0.9410059452056885,31.8967008094481,3,7121,7007,2,7,6,1
51,7725,0.9449275732040405,32.73167692662885,2,6541,7344,4,15,9,6
52,7911,0.9507007002830505,34.82857468325529,1,7309,7566,2,11,10,1
53,8007,0.9563522934913635,33.85450880206916,2,7513,7471,4,17,16,1
54,8250,0.9504501223564148,32.72042856040251,2,7955,7725,4,16,12,4
55,8296,0.9458719491958618,31.864235533110428,5,6349,5985,1,5,4,1
56,8464,0.9474564790725708,31.938818747759104,5,7925,7723,3,13,11,2
57,8568,0.9484726786613464,31.864235533447232,6,8493,8413,2,8,7,1
58,8826,0.9560348391532898,33.672254201629926,3,8250,7619,2,9,8,1
59,8851,0.9511577486991882,31.86423553312944,5,8303,8720,3,12,7,5
60,9002,0.9522305130958557,31.864236113818997,2,4229,5439,1,8,7,1
61,9174,0.9607630968093872,32.71829358559973,2,9118,6027,3,15,13,2
62,9306,0.9534834623336792,31.86423553311162,7,9123,8851,2,9,9,0
63,9540,0.9584763646125793,32.737532715375146,5,5694,9342,2,11,11,0
64,9632,0.9545669555664062,31.87623406711029,5,9194,9458,3,6,5,1
65,9754,0.9567974805831909,32.751644942967054,2,9684,9554,1,5,5,0
66,9903,0.9628639817237854,32.72242939709294,2,6541,9831,2,11,10,1
67,10070,0.9744150638580322,34.69698678825957,3,6314,9913,2,10,10,0
68,10283,0.9674475789070129,32.77702315083828,3,9632,10062,4,17,14,3
69,10419,0.961312472820282,32.83358902088835,1,8318,9990,2,11,11,0
70,10513,0.9604226350784302,32.73762093229391,4,6188,6027,3,12,10,2
71,10781,0.9579487442970276,32.7463724735549,1,6727,9737,3,11,10,1
72,10804,0.9544910788536072,31.864235533203534,3,1044,10020,4,15,13,2
73,10952,0.9542792439460754,31.864235533110428,2,9939,9981,2,9,7,2
74,11145,0.9539968371391296,31.864235553330765,6,10122,9971,2,8,7,1
75,11338,0.9665960669517517,33.73304162990686,4,10076,8197,3,10,7,3
76,11527,0.963557243347168,32.71045007245298,4,11325,10136,5,19,17,2
77,11630,0.9547187089920044,32.7486701516172,1,4613,10125,3,16,14,2
78,11720,0.9527835249900818,32.752297401876035,4,5694,9948,2,5,5,0
79,11997,0.9584681391716003,32.802689501751345,2,9523,9942,1,6,5,1
80,12108,0.9564712047576904,32.73142529029259,3,11325,9754,1,3,2,1
81,12300,0.9550419449806213,32.75638658916439,2,7390,11435,1,8,7,1
82,12426,0.9498934745788574,32.75505409372369,2,7497,10122,4,10,8,2
83,12486,0.9511089324951172,32.745272245115636,2,10020,7974,2,11,10,1
84,12746,0.950671374797821,32.77567858922057,2,10976,7337,1,5,4,1
85,12822,0.9457288384437561,31.86423557843235,7,12134,10057,1,6,3,3
86,12912,0.9444090723991394,31.864235533114663,7,10070,10099,2,10,9,1
87,13077,0.9544798135757446,32.72954601773282,2,7725,10057,3,13,13,0
88,13287,0.947445273399353,32.73231531151127,1,12047,7272,1,3,3,0
89,13440,0.9516687393188477,32.803341915964175,2,11325,8562,2,7,5,2
90,13502,0.939270555973053,31.864235533110445,7,9499,10047,3,13,10,3
91,13733,0.9475132822990417,32.81198890081431,1,13638,9011,2,12,11,1
92,13804,0.936371386051178,31.86423553311223,8,10060,10125,1,8,8,0
93,13991,0.9451819658279419,32.88980639240154,4,10125,6074,2,9,7,2
94,14227,0.9380137324333191,32.73408470631907,6,10140,11338,1,5,4,1
95,14339,0.9386838674545288,32.72263455199995,4,11527,9948,1,6,4,2
96,14495,0.9331398606300354,32.74496420367368,4,14022,13786,4,16,15,1
97,14567,0.9328492879867554,33.764637069721445,2,7725,6688,4,16,13,3
98,14782,0.9302189350128174,32.749508099938616,3,9533,13979,2,10,9,1
99,14990,0.9313213229179382,32.736081958871736,6,9498,14132,3,16,13,3
100,15132,0.928175687789917,32.74186781974749,4,13426,10064,3,11,9,2
