generation,id,novelty,score,species,parent1,parent2
0,95,76.09123000015663,0.4622696707607066,3,-1,-1
1,890,74.02339217906564,0.6847523887063468,4,493,28
2,1478,18.79924468922125,0.6887165836525728,3,664,890
3,1903,25.773885570217097,0.6913217124121581,3,1423,1478
4,2350,2.48193639699947,0.6932471521026742,2,1113,1731
5,2720,90.44926561086007,0.7440200590952335,4,2107,2107
6,3421,68.8766610078564,0.8204511869450822,4,2695,2654
7,3806,87.21209186366453,0.9475033624651578,4,3354,2127
8,3806,58.82304486664431,0.9475033624651578,4,3354,2127
9,4736,12.488852538387722,0.9736149006792405,4,4337,4290
10,5285,26.43794442688865,1.0,3,4716,4716
