generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,44,22.464938265048612,135.1076872154832,2,-1,-1,2,12,12,0
1,290,19.895005887077883,195.025589084832,2,45,54,2,12,12,0
2,436,10.806383559954583,148.74119100405426,2,150,21,3,13,12,1
3,466,12.040760248363851,164.66952640418214,3,290,42,3,13,13,0
4,609,9.348067867457456,147.28968330890365,3,146,466,2,11,10,1
5,890,7.280838927351238,180.50930829449857,2,339,254,2,5,4,1
6,1033,7.096057873782739,153.0077471381182,5,551,112,2,11,10,1
7,1144,11.127244277811656,168.10951255867667,2,890,1016,2,11,11,0
8,1330,10.341896712444575,158.75531016083724,2,1148,980,3,16,15,1
9,1389,28.67488513378258,267.95929455664856,4,609,561,2,11,11,0
10,1599,8.963185690493832,162.9668232060651,1,21,229,3,13,12,1
11,1656,4.239582947572162,153.08342535391827,1,1585,1507,1,6,6,0
12,1808,15.827855003127747,162.93962033201615,1,490,1016,2,5,5,0
13,2083,7.309853979703413,174.056445485653,4,1144,7,2,12,12,0
14,2216,9.506628607313301,145.31232098777528,5,290,1517,3,9,8,1
15,2385,11.257895978265735,173.75471642875067,5,850,1790,1,2,2,0
16,2550,25.639994921931855,245.14411146232337,5,2317,1016,2,12,12,0
17,2627,23.433123592622213,497.19651466017547,3,2261,1386,2,11,10,1
18,2847,17.3448029451144,215.0873020119564,2,2662,2422,2,12,12,0
19,2884,10.501072727416629,312.1465957902483,4,1299,2237,2,15,15,0
20,3035,10.255470656465636,203.6276915056794,3,2651,1303,1,7,7,0
21,3171,25.85093359395678,1158.4768505492461,5,109,2550,1,5,5,0
22,3419,12.797621935285642,190.8647028734532,1,1318,2550,3,16,15,1
23,3490,25.099335874426593,324.7460095943412,1,3393,3171,1,4,4,0
24,3672,16.254179461101558,195.63786761095264,1,1389,2953,2,7,7,0
25,3765,7.881223665035875,247.23862544158183,5,2295,3672,2,8,8,0
26,4023,18.040419765518212,271.32483781039207,5,2627,980,1,4,2,2
27,4092,19.187367403007176,405.9805532256652,2,3223,2991,2,11,11,0
28,4247,15.102213809135863,419.4775644975731,2,3790,860,2,5,5,0
