generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections
0,150,14.665449024074904,157.6744214455901,6,-1,-1,2,12,12,0
1,168,17.91778990502565,132.5014291026783,7,105,123,2,11,11,0
2,415,12.888738167574093,133.7176032258421,1,200,185,2,11,11,0
3,530,10.0230232555172,176.43333086902118,7,178,10,1,5,5,0
4,731,11.669251329364988,188.87940416650315,6,478,175,2,14,14,0
5,775,6.997294073241635,174.80335299776175,2,150,614,2,5,5,0
6,952,10.919734687217986,168.39833565158128,2,150,184,1,3,3,0
7,1193,7.014225371887114,147.33855036991486,3,767,831,2,9,9,0
8,1207,7.472548852145143,149.51431580092367,2,1141,1197,3,7,7,0
9,1436,14.872213348343283,191.8832946257168,4,150,1124,1,4,4,0
10,1582,8.04525521880893,223.12384555133832,2,1124,7,3,7,6,1
11,1652,11.90026271056986,171.48646510529292,4,12,593,3,7,7,0
12,1940,6.5820623042762865,178.722715931165,1,1544,1652,3,13,12,1
13,2073,15.857957033311084,265.1800948205525,5,1937,1261,2,6,6,0
14,2209,6.813688109052765,190.2858496536982,4,698,1314,2,10,10,0
15,2359,11.36955677938075,251.81833501190053,3,2209,2237,3,16,14,2
16,2410,19.176780334460013,254.37473471666726,3,5,2388,2,11,11,0
17,2610,9.945229473606984,195.7663125624271,6,2410,1173,1,5,5,0
18,2729,9.081799136688609,216.4489724824619,2,2465,2359,3,14,12,2
19,2992,10.40431049595832,182.03574137869794,6,2337,600,1,6,6,0
20,3076,11.286386330544836,453.8643285217352,5,1742,2073,1,7,7,0
21,3206,11.66632614929141,225.79472913448518,5,2465,1436,1,8,8,0
22,3401,20.23150157225266,399.4317520057026,2,2059,2979,5,15,13,2
23,3489,8.02520533801725,276.681826560237,2,1687,2359,2,13,12,1
24,3663,19.086370624662987,288.80716158945575,6,2431,8,1,4,4,0
25,3784,9.473842258179916,258.0667282533556,4,3044,3660,2,11,11,0
26,3938,7.771158089346882,315.9917826830547,2,3660,3424,2,6,5,1
27,4173,12.541935955871976,253.4878947427473,6,3105,2610,4,13,11,2
28,4264,6.536449853864476,319.17077812210226,2,3974,3730,3,11,10,1
29,4431,9.816592199724065,264.2782170798939,3,4291,1060,2,11,11,0
30,4601,8.65172949300286,269.6339147691248,2,3370,1544,1,7,6,1
31,4758,18.27167782197064,543.2828370754899,2,4650,4241,3,16,14,2
32,4840,13.70316030948389,319.1059763656318,6,4758,3401,3,14,13,1
33,5014,15.399595241653953,442.26276957456014,2,4253,3660,3,10,8,2
34,5213,23.895122295616822,394.7339185004188,2,5014,2545,1,7,6,1
35,5350,10.7216792374134,350.0741352109385,2,2610,5014,1,5,5,0
36,5421,12.156058468996957,285.7065667268366,6,3660,3164,2,14,14,0
37,5691,7.684308637639293,298.1044153001934,2,5045,5089,3,11,10,1
38,5804,8.87244528933339,348.9077750183321,7,5098,3164,1,5,5,0
39,5961,10.427611076088334,338.23715493499606,4,5233,3981,4,16,15,1
40,6043,13.185867099852862,538.5494864804449,6,4758,1445,2,8,6,2
41,6231,10.128844186721036,498.00483281428285,4,631,3950,1,6,4,2
42,6349,9.879202266013158,357.0833447479803,7,5376,4840,4,15,14,1
43,6473,8.68593922512351,567.7739877038069,6,6214,33,2,7,7,0
44,6684,7.886848400570824,374.4805094034373,2,6285,5702,2,10,8,2
45,6867,10.7866476207591,485.3503926630785,5,3206,6231,3,13,10,3
46,7003,9.437505038500234,347.8265003740501,2,6043,2359,2,6,5,1
47,7169,10.221948586194753,340.58720057629637,2,4840,6043,3,14,12,2
48,7330,6.901173396093663,353.01159532356775,7,7170,3953,3,8,7,1
49,7402,8.339757865462806,444.2010572762113,7,5350,7330,1,3,3,0
50,7616,7.905772738741252,379.2079453556406,5,6495,3938,1,6,6,0
51,7783,10.363583374231576,679.3541699214926,5,6867,5213,2,11,10,1
52,7933,9.66122957422466,380.5706325127134,1,2073,5804,2,9,7,2
