generation,id,novelty,score,species,parent1,parent2
0,82,85.81245753965872,0.587792289107944,3,-1,-1
1,737,31.34607933530786,0.6882988212255229,4,166,409
2,993,9.301188094329243,0.692308625346644,1,740,732
3,1784,24.20616785989009,0.6930545300872679,4,1193,1464
4,2411,58.85129419565598,0.7083361138375186,5,1916,1891
5,2899,65.82571489679295,0.7853841935692033,5,2411,670
6,2899,58.00729594154451,0.7853841935692033,5,2411,670
7,3855,50.44588818845453,0.7866758295438424,2,3351,3357
8,4282,41.6029697133299,0.7911590387893426,2,3808,3801
9,4536,101.706500817406,0.8869826514405091,4,4111,4062
10,4536,108.15164261814132,0.8869826514405091,4,4111,4062
11,5425,87.4371465401318,0.8897220434779016,5,5150,5010
12,5425,100.80324730986051,0.8897220434779016,3,5150,5010
13,5425,95.79777873537371,0.8897220434779016,3,5150,5010
14,5425,85.40060984510276,0.8897220434779016,5,5150,5010
15,7689,64.67888158282847,0.9302795888097094,4,7245,7198
16,5425,82.92666442913793,0.8897220434779016,3,5150,5010
17,5425,91.11681311433891,0.8897220434779016,3,5150,5010
18,5425,85.68372554474671,0.8897220434779016,2,5150,5010
19,5425,82.99437118968247,0.8897220434779016,5,5150,5010
20,10143,67.87457498077248,0.9203590427460691,4,9613,9613
21,10143,63.048623944967794,0.9203590427460691,4,9613,9613
22,5425,87.90944220294996,0.8897220434779016,2,5150,5010
23,11576,67.08062349927555,0.9000965574867533,4,11076,11080
24,12158,67.95809914195304,1.0,4,4536,4536
