generation,id,novelty,fitness,species,parent1,parent2,num_nodes,num_connections,num_enabled_connections,num_disabled_connections 
273,34897,0.6927663087844849,767.2186278500124,,21266,28749,5,12,9,3
273,39563,2.039578437805176,764.1903126693504,,35924,38874,6,16,13,3
273,40437,2.560387134552002,763.6942331078408,,35665,38535,5,12,8,4
273,40529,2.1622767448425293,752.7892539388733,,39710,40378,4,10,7,3
273,33126,1.436237096786499,752.3712668105688,,32995,20871,2,4,4,0
273,39370,1.6922845840454102,748.9430981053927,,37063,34131,3,9,7,2
273,39523,2.190416097640991,745.3262456150749,,30957,33582,4,12,8,4
273,37286,1.6992778778076172,745.0285559734158,,36580,29367,2,3,2,1
273,38535,1.3331642150878906,745.0285559734158,,37286,12840,2,3,2,1
273,33582,1.3759715557098389,739.6736103238818,,21266,28222,4,11,8,3
273,37115,1.4556509256362915,738.7874931474613,,35924,27644,3,7,7,0
273,39717,2.246966600418091,738.620688186757,,34160,36890,2,2,2,0
273,36398,1.1642032861709595,735.2924012606103,,35244,35682,4,10,8,2
273,34160,0.6604828238487244,734.7370711104438,,27080,31511,2,3,3,0
273,27943,2.747267484664917,734.5960044189984,,25772,25888,3,6,3,3
273,22198,1.5717917680740356,733.1170549154546,,19586,21163,3,8,7,1
273,39529,2.205359935760498,733.1170549154546,,22198,35955,2,8,7,1
273,24824,1.9278910160064697,731.7044184861372,,24266,24397,4,8,6,2
273,35388,1.1390435695648193,727.9981084535273,,25515,22198,3,8,7,1
273,21266,1.787075161933899,727.9146409017596,,20638,19547,4,10,7,3
273,40015,2.379991292953491,727.5800610880435,,37906,28453,4,10,8,2
273,34508,2.5174264907836914,725.135252726345,,25881,27681,4,13,10,3
273,40862,2.056346893310547,724.9201786038197,,37569,34810,3,5,5,0
273,39898,2.3447303771972656,724.3779296198436,,36398,28749,3,6,5,1
273,39706,2.4487645626068115,722.893050727929,,39234,30694,2,8,8,0
273,34810,1.5189430713653564,721.7482089756975,,33406,34320,6,12,9,3
273,40369,2.1884450912475586,719.9164761220959,,34986,24522,4,13,10,3
273,37409,1.6621201038360596,714.6884574225086,,36413,35946,6,16,12,4
273,24522,1.6982169151306152,713.1946854021302,,20976,23993,2,4,4,0
273,38401,1.0020008087158203,713.1772516213575,,33056,33147,4,7,5,2
273,40238,2.324190139770508,712.9522974328473,,35274,35445,5,10,8,2
273,38721,1.2434406280517578,712.542126069495,,21266,23725,4,10,7,3
273,25881,1.0879342555999756,711.5232878808621,,19324,24388,4,13,10,3
274,34450,1.7345221042633057,1001.8269183404261,,31180,33582,2,5,5,0
274,38717,1.0029890537261963,973.6574352693611,,24522,33147,5,10,8,2
274,34986,1.4064387083053589,936.2138317541201,,34886,30957,4,12,9,3
274,34240,2.1559550762176514,926.1287109473403,,28665,28222,1,3,3,0
274,36999,1.5556105375289917,925.4306132007732,,36580,33416,5,15,12,3
274,39710,2.068589925765991,925.4306132007732,,36999,37185,4,11,8,3
274,38874,1.2878632545471191,920.1151785339265,,35665,37379,5,14,11,3
274,36929,0.7105126976966858,918.2094429454486,,27062,34160,1,3,3,0
274,40792,2.252401351928711,917.4178118521344,,33582,39907,1,5,3,2
274,27719,2.0776331424713135,904.1784837344261,,27254,26894,4,11,9,2
274,41164,2.102871894836426,903.4328287760625,,39563,35924,2,5,5,0
274,31441,1.9438135623931885,891.31480078333,,30911,25195,5,12,9,3
274,40173,2.1023690700531006,891.1297993909827,,35665,35274,5,14,11,3
