generation,id,novelty,fitness,species,parent1,parent2
0,170,55.15575078927914,-0.2667109490142267,2,-1,-1
1,739,46.745825316789144,0.7483627939896451,6,290,465
2,1184,38.96599969033045,0.058929822957562356,6,535,203
3,1913,37.773310235987545,-0.09287110567715841,4,1065,1388
4,2089,34.163321391175906,-0.053063680123598155,4,1315,195
5,2914,31.694284664965814,0.20641781688829344,5,218,495
6,3144,28.374015180229275,0.07060121150670322,2,440,1913
7,3713,24.221018723455234,-0.025796844031877934,4,94,601
8,4285,20.43268983403959,-0.06428392356703412,3,3979,501
9,4563,27.83859505852895,0.12179852856713319,1,1046,1101
10,5326,18.63875274363482,0.6379210357433103,4,4325,3624
11,5673,18.87191578904618,-0.18544334335094306,3,541,101
12,6316,22.18867660904667,-0.15531231080313493,5,5588,4273
13,6951,22.624650360339995,-0.09921512438028432,5,2012,2878
14,7243,21.24957664303724,-0.09963138488447852,4,3583,6730
15,7775,19.689339219804594,-0.09446458990535138,5,440,1579
16,8248,18.799406340990572,-0.11136240551027006,1,7965,2018
17,8522,23.86920894392563,-0.005855508359751945,1,8443,6951
18,9401,19.258008910352395,-0.12098287003730424,5,5371,544
19,9638,30.16987483740132,0.11969179757112809,6,9477,4718
20,10499,19.26250472687068,-0.15104141414692118,5,4843,7605
21,10962,22.263431052066675,-0.023846493375672198,2,161,410
22,11155,21.852218287289244,-0.059010238336133426,5,1184,68
23,11608,21.87422334127078,-0.1239574297068303,5,10019,9051
24,12080,16.999196904635316,-0.12507710988909493,3,1046,3401
25,12513,21.945165728449307,0.024118268824093028,2,4320,1101
26,13239,24.739206433546038,0.060194394488917724,6,4718,195
27,13777,20.179934536996978,-0.05120878667719059,5,10199,59
28,14187,22.438767571701582,-0.025219921625531418,6,444,790
29,14506,25.287965562463796,0.056820065649009016,5,4843,541
30,15023,21.337762801880867,-0.11713873753905082,5,290,6951
31,15774,38.868199035134516,0.021637453998326624,4,1961,774
32,16430,17.830418917061827,-0.1270605176035262,2,4843,8064
33,16693,22.300086315539325,0.00740935800218484,2,7664,7578
34,17431,21.366212512265847,-0.14735472469111563,5,2878,139
35,17643,22.203282221138693,0.02982827802946138,5,13312,7769
36,18107,18.99524849438543,-0.09754428484602932,2,7666,827
37,18947,32.37632958886078,0.16737918953840927,2,22,1100
38,19160,18.7725993251233,-0.1066889856962068,2,6969,10050
39,19906,20.402476963942835,-0.0755261137024181,1,10,1237
40,20170,20.060736425296145,-0.11690826935083905,2,557,18947
41,20610,27.240627010515407,0.13979364992569335,2,1184,1184
42,21236,21.39420677946359,-0.06414663192559025,5,15774,311
43,21622,18.050399949677736,-0.1351549555595669,4,14644,10463
44,22417,20.53523992204094,0.04880822791206636,5,1913,4563
45,22797,20.389438296172255,0.038337810491687954,1,7666,20921
46,23414,20.998213286548395,-0.004191392390468914,3,915,4563
47,23602,21.073315159216367,-0.022274521385898857,2,42,2633
48,24374,22.033886695698968,-0.12767846415295755,1,1818,217
49,24723,17.064339262468742,0.6106621405950178,4,1282,2016
50,25475,19.73387906783204,-0.08961097529570844,3,9904,22834
51,25504,20.954375666273027,0.09485579907344555,3,115,329
52,26314,22.65072606996946,-0.13623364666021745,2,13312,974
53,26905,19.624621869693637,-0.13536977037604345,5,14524,22834
54,27077,40.06382694564443,0.3063886643238014,1,683,10
55,27902,19.822188713984964,-0.07528908260394437,6,16599,161
56,28260,21.738528060784926,0.05674415520371644,6,6951,1194
57,28728,22.95643772505031,0.06611100921164598,6,6730,10463
58,29238,20.66422947648478,-0.11123355602094982,2,696,2633
59,29569,18.12205709486573,-0.1769216422823365,4,715,6316
60,30276,21.346743670308435,-0.05061790637443716,1,16387,880
61,30788,37.15184820088503,0.34670360313251436,3,535,329
62,31488,29.305470729265448,0.3406109771454299,5,8064,1237
63,31737,19.944243794032065,-0.12527949884095985,3,161,974
64,32134,19.79563860666292,-0.010637941731791528,2,271,1961
65,32646,19.71861223947792,-0.005429408798978185,3,774,15774
66,33302,22.048375759673892,-0.14525067540188896,2,1818,3041
67,33802,18.328928436053218,-0.211194852995232,2,18996,15079
68,34455,21.314150022511267,-0.012242736385816296,2,24721,40
69,34820,22.47107785963186,0.04998283350275377,1,18947,159
70,35076,18.0354247949695,-0.13463697059766166,4,1315,620
71,35715,21.136024399537074,-0.06374590450085871,5,29256,1579
72,36464,21.069406626686952,-0.1609740433878258,2,138,6951
73,36999,23.247386684094575,0.08354122263804471,5,17643,1100
74,37216,20.576006157599235,0.033964018028670495,1,1184,2736
75,37923,20.972491886073534,0.06231344675407946,2,440,533
76,38439,18.416300182354338,-0.06168164668012159,2,34178,1491
77,38643,27.40331291972334,0.2912165904961984,4,10050,30704
78,39359,19.65816527894534,-0.11669946108585813,5,34178,1101
79,39838,34.42245838265636,-0.06947348347662043,1,683,526
80,40403,21.688116110074507,-0.11875494775274173,4,1085,18947
81,40648,22.94927726658356,-0.12940029525332652,2,1818,1433
82,41281,21.502068121645497,-0.1426667976688055,5,2878,476
83,41746,19.4991591531397,-0.17811874809745934,4,29256,224
84,42031,22.967754229080978,0.05096220482840944,5,1913,62
85,42625,25.8090196370426,0.1295486836303497,2,32671,12810
86,43113,19.463537675614365,-0.09520241348600021,5,38297,3401
87,43506,19.61733913471768,-0.055777726440017834,1,384,39838
88,44412,20.485380398999965,-0.1809047788284101,5,42439,276
89,44520,20.63609360675848,-0.051939535698491204,1,3851,15774
90,45122,28.84118764685268,0.24239778326854314,3,1491,15774
91,45829,27.281475121403844,0.19363797778560982,2,28631,40
92,46223,18.91450606206889,-0.09080593365299863,5,1046,214
93,46555,27.81184225205262,0.2570183882530342,2,605,1100
94,47178,22.721611526399577,0.04445542669680793,5,4843,969
95,47675,27.362317140738433,0.23439414226165858,5,1101,18947
96,48341,19.57159934552678,-0.07074924194547702,2,1913,6316
97,48554,19.322206336416155,-0.0644996928955255,1,291,3344
98,49497,18.687923033643912,-0.12408408850020136,5,1101,107
99,49716,38.48872892084968,-0.07770758088824724,1,37822,1433
100,50097,27.488913447485313,0.21139169884948672,5,1100,329
101,50540,28.272203482248678,0.2403524928920759,1,30788,384
